intent,entity_key1,entity_value1,entity_key2,entity_value2,response
health,part,O,issue,불,먼저 통증이 가라앉은 때까지 흐르는 찬물에 화상 입은 부위들 20~30분 정도 대고 있다가 얼음을 상처 위에 얹어 줍니다. 만약 상처 부위가 크다면 웃는 입힌 채로 욕조에 몸을 담그는 것이 좋습니다. 화상 부위에는 연고 기름 로션 된장 등을 바르며 물집은 일부러 터트리지 말아야 합니다. 그리고 전기 감전으로 인한 화상이나 몸의 10%이상에 화상들 입었을 경우에는 즉시 병원으로 가야 하는데 병원으로 갈때는 몸에 화상 부분을 거즈나 깨끗한 수건으로 감싸고 가도록 해야 합니다.
health,part,O,issue,화상,먼저 통증이 가라앉은 때까지 흐르는 찬물에 화상 입은 부위들 20~30분 정도 대고 있다가 얼음을 상처 위에 얹어 줍니다. 만약 상처 부위가 크다면 웃는 입힌 채로 욕조에 몸을 담그는 것이 좋습니다. 화상 부위에는 연고 기름 로션 된장 등을 바르며 물집은 일부러 터트리지 말아야 합니다. 그리고 전기 감전으로 인한 화상이나 몸의 10%이상에 화상들 입었을 경우에는 즉시 병원으로 가야 하는데 병원으로 갈때는 몸에 화상 부분을 거즈나 깨끗한 수건으로 감싸고 가도록 해야 합니다.
health,part,O,issue,상처,아기의 몸에 작은 상처가 생기면 먼저 상처 부위들 깨끗한 물로 써낸 다음 깨끗이 소독하고 드레싱을 해아 합니다. 살균 가제를 상처 부위에 붙인 다음 반창고로 고정시켜 공기가 들어가지 않도록 해야 하지만 낮에는 상처를 봉해두었다가도 밤에는 붙여둔 반창고를 떼어내어 공기를 쏘이게 하는 것이 좋습니다. 하지만 더운 여름에는 상처를 봉하지 않는 것이 좋은데 상처주위에 녹가루가 묻어 있거나 상처가 깊은 경우에는 파상풍의 위험이있으므로 병원에 가보아야 합니다.
health,part,O,issue,멍,아기가 멍이 들었을 때에는 멍든 부위에 얼음주머니를 대고 있으면 멍이 커지는 것을 막을 수 있습니다. 그러나 하루가 지나도 멍든부위가 계속 아프다면 골절을 의심할 수 있으므로 병원에 가보는 것이 좋습니다.
health,part,머리,issue,O,아기가 머리를 다쳤을 때에는 우선 머리에 상처가 있는지 살펴보아야 합니다. 만약에 상처에서 피가 나면 상처를 지압한 다음 붕대로 고정시켜야하고 상처가 크지 않으면 소독을 한 다음 반창고나 가제로 봉하면 됩니다. 상처가 없이 멍이 들었을 경우에는 멍 부위에 얼음주머니를 대주면 멍이 더 이상 커지지 않으며 상처가 크거나 귀나 코에서 피나 수액이 나오거나 자꾸 토하고 경련이 일어난다면 급히 병원으로 가 보아야합니다. 부러졌을때에는 무리하게 움직이면 절대 안 됩니다. 일단 응급차를 부르고 나서 기다리는 동안에 부목이나 단단한 막대로 골절 부위를 고정시키는 것이 좋습니다.
health,part,머리,issue,상처,아기가 머리를 다쳤을 때에는 우선 머리에 상처가 있는지 살펴보아야 합니다. 만약에 상처에서 피가 나면 상처를 지압한 다음 붕대로 고정시켜야하고 상처가 크지 않으면 소독을 한 다음 반창고나 가제로 봉하면 됩니다. 상처가 없이 멍이 들었을 경우에는 멍 부위에 얼음주머니를 대주면 멍이 더 이상 커지지 않으며 상처가 크거나 귀나 코에서 피나 수액이 나오거나 자꾸 토하고 경련이 일어난다면 급히 병원으로 가 보아야합니다. 부러졌을때에는 무리하게 움직이면 절대 안 됩니다. 일단 응급차를 부르고 나서 기다리는 동안에 부목이나 단단한 막대로 골절 부위를 고정시키는 것이 좋습니다.
health,part,머리,issue,피,아기가 머리를 다쳤을 때에는 우선 머리에 상처가 있는지 살펴보아야 합니다. 만약에 상처에서 피가 나면 상처를 지압한 다음 붕대로 고정시켜야하고 상처가 크지 않으면 소독을 한 다음 반창고나 가제로 봉하면 됩니다. 상처가 없이 멍이 들었을 경우에는 멍 부위에 얼음주머니를 대주면 멍이 더 이상 커지지 않으며 상처가 크거나 귀나 코에서 피나 수액이 나오거나 자꾸 토하고 경련이 일어난다면 급히 병원으로 가 보아야합니다. 부러졌을때에는 무리하게 움직이면 절대 안 됩니다. 일단 응급차를 부르고 나서 기다리는 동안에 부목이나 단단한 막대로 골절 부위를 고정시키는 것이 좋습니다.
health,part,팔,issue,골절,삼각건으로 팔을 고정시킨 다음 즉시 병원으로 가야하며 아기가 울더라도 절대 움직여서는 안됩니다.
health,part,팔,issue,부러짐,삼각건으로 팔을 고정시킨 다음 즉시 병원으로 가야하며 아기가 울더라도 절대 움직여서는 안됩니다.
health,part,팔,issue,O,삼각건으로 팔을 고정시킨 다음 즉시 병원으로 가야하며 아기가 울더라도 절대 움직여서는 안됩니다.
health,part,뼈,issue,골절,아기가 팔이나 다리를 삐었을 경우에는 얼음주머니를 상처 부위에 대주어 부기를 가라앉힌 다음 탄력 붕대로 감아주면 됩니다. 만약 시간이 지나도 부기가 가라앉지 않는다면 병원에 가 보는 것이 좋으며 이때 붕대 안에 탈지면을 넣어주편 너무 조이지 않아 편안합니다.
health,part,뼈,issue,부러짐,아기가 팔이나 다리를 삐었을 경우에는 얼음주머니를 상처 부위에 대주어 부기를 가라앉힌 다음 탄력 붕대로 감아주면 됩니다. 만약 시간이 지나도 부기가 가라앉지 않는다면 병원에 가 보는 것이 좋으며 이때 붕대 안에 탈지면을 넣어주편 너무 조이지 않아 편안합니다.
health,part,뼈,issue,O,아기가 팔이나 다리를 삐었을 경우에는 얼음주머니를 상처 부위에 대주어 부기를 가라앉힌 다음 탄력 붕대로 감아주면 됩니다. 만약 시간이 지나도 부기가 가라앉지 않는다면 병원에 가 보는 것이 좋으며 이때 붕대 안에 탈지면을 넣어주편 너무 조이지 않아 편안합니다.
health,part,O,issue,숨,어린아이는 심한기침을 하거나 업드려 자다가도 기도가 막혀 질식할 수 있습니다. 이런 상태가 5~6분이상 계속되면 뇌에 산소가 부족하여 위험할 수 있으므로 먼저 응급차를 부르고 나서 기다리는 동안 간단한 인공호흡을 해주는 것이 좋습니다.
health,part,코,issue,호흡,어린아이는 심한기침을 하거나 업드려 자다가도 기도가 막혀 질식할 수 있습니다. 이런 상태가 5~6분이상 계속되면 뇌에 산소가 부족하여 위험할 수 있으므로 먼저 응급차를 부르고 나서 기다리는 동안 간단한 인공호흡을 해주는 것이 좋습니다.
health,part,코,issue,숨,어린아이는 심한기침을 하거나 업드려 자다가도 기도가 막혀 질식할 수 있습니다. 이런 상태가 5~6분이상 계속되면 뇌에 산소가 부족하여 위험할 수 있으므로 먼저 응급차를 부르고 나서 기다리는 동안 간단한 인공호흡을 해주는 것이 좋습니다.
health,part,O,issue,질식,어린아이는 심한기침을 하거나 업드려 자다가도 기도가 막혀 질식할 수 있습니다. 이런 상태가 5~6분이상 계속되면 뇌에 산소가 부족하여 위험할 수 있으므로 먼저 응급차를 부르고 나서 기다리는 동안 간단한 인공호흡을 해주는 것이 좋습니다.
health,part,O,issue,호흡,어린아이는 심한기침을 하거나 업드려 자다가도 기도가 막혀 질식할 수 있습니다. 이런 상태가 5~6분이상 계속되면 뇌에 산소가 부족하여 위험할 수 있으므로 먼저 응급차를 부르고 나서 기다리는 동안 간단한 인공호흡을 해주는 것이 좋습니다.
health,part,O,issue,CPR,먼저 아기의 목에 베개를 대 턱이 위로 들리도록 머리를 젖혀 기도를 확보한다. 아기의 턱을 잡아당겨 입을 벌리고 코들 막은 후에 1분에 20 3초에 한번 정도로 숨을 불어 넣는다. 인공호흡을 두 번정도 한 다음에는 아기를 바닥에 눕히고 명치에서 약간 좌측을 두 손가락으로 1분에 100회 정도 힘껏 눌러준다. 위 단계를 반복하세요.
health,part,O,issue,cpr,먼저 아기의 목에 베개를 대 턱이 위로 들리도록 머리를 젖혀 기도를 확보한다. 아기의 턱을 잡아당겨 입을 벌리고 코들 막은 후에 1분에 20 3초에 한번 정도로 숨을 불어 넣는다. 인공호흡을 두 번정도 한 다음에는 아기를 바닥에 눕히고 명치에서 약간 좌측을 두 손가락으로 1분에 100회 정도 힘껏 눌러준다. 위 단계를 반복하세요.
health,part,O,issue,인공호흡,먼저 아기의 목에 베개를 대 턱이 위로 들리도록 머리를 젖혀 기도를 확보한다. 아기의 턱을 잡아당겨 입을 벌리고 코들 막은 후에 1분에 20 3초에 한번 정도로 숨을 불어 넣는다. 인공호흡을 두 번정도 한 다음에는 아기를 바닥에 눕히고 명치에서 약간 좌측을 두 손가락으로 1분에 100회 정도 힘껏 눌러준다. 위 단계를 반복하세요.
health,part,몸,issue,열,먼저 체온계로 체온을 재어 보아야하며 열이 많을 경우에는 겨드랑이 발목 가랑이 부분을 차게 해주어 열을 내리거나 미지근한 물수건으로 온몸을 마사지해주는 것이 좋습니다. 또한 땀을 많이 흘릴 때에는 자주 웃을 갈아 입혀 주며 부족한 수분을 보충하기 위해서 물이나 보리차를 자주 먹여주어야하며 신선한 공기를 마실수 있도록 규칙적으로 환기들 해 주어야 합니다. 하지만 계속해서 호흡이 거칠고 혀가 보라색으로 변하거나 33도가 넘는 고열이 난다면 즉시 병원으로 가야 합니다.
health,part,머리,issue,열,먼저 체온계로 체온을 재어 보아야하며 열이 많을 경우에는 겨드랑이 발목 가랑이 부분을 차게 해주어 열을 내리거나 미지근한 물수건으로 온몸을 마사지해주는 것이 좋습니다. 또한 땀을 많이 흘릴 때에는 자주 웃을 갈아 입혀 주며 부족한 수분을 보충하기 위해서 물이나 보리차를 자주 먹여주어야하며 신선한 공기를 마실수 있도록 규칙적으로 환기들 해 주어야 합니다. 하지만 계속해서 호흡이 거칠고 혀가 보라색으로 변하거나 33도가 넘는 고열이 난다면 즉시 병원으로 가야 합니다.
health,part,얼굴,issue,열,먼저 체온계로 체온을 재어 보아야하며 열이 많을 경우에는 겨드랑이 발목 가랑이 부분을 차게 해주어 열을 내리거나 미지근한 물수건으로 온몸을 마사지해주는 것이 좋습니다. 또한 땀을 많이 흘릴 때에는 자주 웃을 갈아 입혀 주며 부족한 수분을 보충하기 위해서 물이나 보리차를 자주 먹여주어야하며 신선한 공기를 마실수 있도록 규칙적으로 환기들 해 주어야 합니다. 하지만 계속해서 호흡이 거칠고 혀가 보라색으로 변하거나 33도가 넘는 고열이 난다면 즉시 병원으로 가야 합니다.
health,part,전신,issue,열,먼저 체온계로 체온을 재어 보아야하며 열이 많을 경우에는 겨드랑이 발목 가랑이 부분을 차게 해주어 열을 내리거나 미지근한 물수건으로 온몸을 마사지해주는 것이 좋습니다. 또한 땀을 많이 흘릴 때에는 자주 웃을 갈아 입혀 주며 부족한 수분을 보충하기 위해서 물이나 보리차를 자주 먹여주어야하며 신선한 공기를 마실수 있도록 규칙적으로 환기들 해 주어야 합니다. 하지만 계속해서 호흡이 거칠고 혀가 보라색으로 변하거나 33도가 넘는 고열이 난다면 즉시 병원으로 가야 합니다.
health,part,몸,issue,뜨거움,먼저 체온계로 체온을 재어 보아야하며 열이 많을 경우에는 겨드랑이 발목 가랑이 부분을 차게 해주어 열을 내리거나 미지근한 물수건으로 온몸을 마사지해주는 것이 좋습니다. 또한 땀을 많이 흘릴 때에는 자주 웃을 갈아 입혀 주며 부족한 수분을 보충하기 위해서 물이나 보리차를 자주 먹여주어야하며 신선한 공기를 마실수 있도록 규칙적으로 환기들 해 주어야 합니다. 하지만 계속해서 호흡이 거칠고 혀가 보라색으로 변하거나 33도가 넘는 고열이 난다면 즉시 병원으로 가야 합니다.
health,part,O,issue,열,먼저 체온계로 체온을 재어 보아야하며 열이 많을 경우에는 겨드랑이 발목 가랑이 부분을 차게 해주어 열을 내리거나 미지근한 물수건으로 온몸을 마사지해주는 것이 좋습니다. 또한 땀을 많이 흘릴 때에는 자주 웃을 갈아 입혀 주며 부족한 수분을 보충하기 위해서 물이나 보리차를 자주 먹여주어야하며 신선한 공기를 마실수 있도록 규칙적으로 환기들 해 주어야 합니다. 하지만 계속해서 호흡이 거칠고 혀가 보라색으로 변하거나 33도가 넘는 고열이 난다면 즉시 병원으로 가야 합니다.
health,part,O,issue,우웩,아기가 갑자기 토하려고 한다면 몸을 숙일 수 있게끔 도와주어 잘 토할 수 있도록 해야 합니다. 구토들 하고 나면 옷이나 입 주위가 지저분해지기 쉬우므로 깨끗하게야 하며 그래야만 다시 토하는 일을 막을 수 있습니다. 구토가 가라앉으면 수분을 보충하기 위해 끝여 식힌 물이나 보리차를 먹이고 등을 문질러주면 좋습니다. 토한후에는 얼굴을 옆으로 돌려 눕혀 놓아야 다시 토하더라도 기도가 막히지 않으므로 주의해아합니다. 만약 아이가 6시간 이상 구토를 반복하거나 두통 현기증과 복통이 구토와 함께 나타난다면 즉시 병원으로 가보아야 합니다.
health,part,O,issue,오바이트,아기가 갑자기 토하려고 한다면 몸을 숙일 수 있게끔 도와주어 잘 토할 수 있도록 해야 합니다. 구토들 하고 나면 옷이나 입 주위가 지저분해지기 쉬우므로 깨끗하게야 하며 그래야만 다시 토하는 일을 막을 수 있습니다. 구토가 가라앉으면 수분을 보충하기 위해 끝여 식힌 물이나 보리차를 먹이고 등을 문질러주면 좋습니다. 토한후에는 얼굴을 옆으로 돌려 눕혀 놓아야 다시 토하더라도 기도가 막히지 않으므로 주의해아합니다. 만약 아이가 6시간 이상 구토를 반복하거나 두통 현기증과 복통이 구토와 함께 나타난다면 즉시 병원으로 가보아야 합니다.
health,part,입,issue,토,아기가 갑자기 토하려고 한다면 몸을 숙일 수 있게끔 도와주어 잘 토할 수 있도록 해야 합니다. 구토들 하고 나면 옷이나 입 주위가 지저분해지기 쉬우므로 깨끗하게야 하며 그래야만 다시 토하는 일을 막을 수 있습니다. 구토가 가라앉으면 수분을 보충하기 위해 끝여 식힌 물이나 보리차를 먹이고 등을 문질러주면 좋습니다. 토한후에는 얼굴을 옆으로 돌려 눕혀 놓아야 다시 토하더라도 기도가 막히지 않으므로 주의해아합니다. 만약 아이가 6시간 이상 구토를 반복하거나 두통 현기증과 복통이 구토와 함께 나타난다면 즉시 병원으로 가보아야 합니다.
health,part,O,issue,구토,아기가 갑자기 토하려고 한다면 몸을 숙일 수 있게끔 도와주어 잘 토할 수 있도록 해야 합니다. 구토들 하고 나면 옷이나 입 주위가 지저분해지기 쉬우므로 깨끗하게야 하며 그래야만 다시 토하는 일을 막을 수 있습니다. 구토가 가라앉으면 수분을 보충하기 위해 끝여 식힌 물이나 보리차를 먹이고 등을 문질러주면 좋습니다. 토한후에는 얼굴을 옆으로 돌려 눕혀 놓아야 다시 토하더라도 기도가 막히지 않으므로 주의해아합니다. 만약 아이가 6시간 이상 구토를 반복하거나 두통 현기증과 복통이 구토와 함께 나타난다면 즉시 병원으로 가보아야 합니다.
health,part,O,issue,토,아기가 갑자기 토하려고 한다면 몸을 숙일 수 있게끔 도와주어 잘 토할 수 있도록 해야 합니다. 구토들 하고 나면 옷이나 입 주위가 지저분해지기 쉬우므로 깨끗하게야 하며 그래야만 다시 토하는 일을 막을 수 있습니다. 구토가 가라앉으면 수분을 보충하기 위해 끝여 식힌 물이나 보리차를 먹이고 등을 문질러주면 좋습니다. 토한후에는 얼굴을 옆으로 돌려 눕혀 놓아야 다시 토하더라도 기도가 막히지 않으므로 주의해아합니다. 만약 아이가 6시간 이상 구토를 반복하거나 두통 현기증과 복통이 구토와 함께 나타난다면 즉시 병원으로 가보아야 합니다.
health,part,O,issue,설사,아기가 설사가 시작하면 탈수증상이 오기 쉬우므로 끓여식힌 물이나 보리차를 자주 먹이고 항문이 더러워지기 쉬우므로 기저귀들 자주 갈아주고 따뜻한 물로 항문을 어주는 해주어 등 청결을 유지해야합니다. 구토와 마찬가지로 설사를 6시간이상 계속하거나 설사시 복통 발열 구토 등을 동반한다면 즉시 병원으로 가 보아야 합니다.
health,part,O,issue,변비,변비는 변의 색깔이나 변을 보는 기간 보다는 변의 단단하기"를 보고 진단할 수 있는데 아기가 3~4일 동안 변을 보지 않거나 매일 변을 보더라도 변이 단단하고 항문에서 피가나면 변비라고 할수 있습니다. 아기가 변비증상을 나타낼 때에는 우선 달다고 느낄 정도의 설탕물 또는 야채나 과일을 많이 먹여보고 3일정도가 경과한 후에도 증세가 나아지지 않으면 관장을 해야 합니다. 만약 돌이 지나지않은 아기라면 관장약 보다는 면봉에 베이비오일을 묻혀 항문을 자극해주는 것이 더 좋으며 항문이 찢어졌을 때도 깨끗이 씻고 베이비오일을 발라주면 자연히 낫게 됩니다.
health,part,코,issue,출혈,아기가 코피를 흘리면 먼저 대야 위로 고개들 숙이게 한 채로 코를 너무 강하지 않게 지그시 눌러줍니다. 만약 10분 정도가 지나도 코피가 멎지 않는다면 다시 5분 정도 반복해 주며 이와 같은 처치를 3번 정도 반복해도 코피가 멎지 않는다면 병원에 가 보는 것이 좋습니다. 이때 머리를 뒤로 젖히면 코피가 목으로 넘어갈 수 있기 때문에 절대 안 됩니다. 이 밖에도 솜으로 코를 막아주거나 차가운 냉찜질을 해주는 등의 방법도 있습니다. 솜으로 코를 막을때에는 코피가 멎은 후에 솜을 빼내면서 점막을 자극하여 다시 코피가 날수도 있기 때문에 조심해야합니다.
health,part,코,issue,코피,아기가 코피를 흘리면 먼저 대야 위로 고개들 숙이게 한 채로 코를 너무 강하지 않게 지그시 눌러줍니다. 만약 10분 정도가 지나도 코피가 멎지 않는다면 다시 5분 정도 반복해 주며 이와 같은 처치를 3번 정도 반복해도 코피가 멎지 않는다면 병원에 가 보는 것이 좋습니다. 이때 머리를 뒤로 젖히면 코피가 목으로 넘어갈 수 있기 때문에 절대 안 됩니다. 이 밖에도 솜으로 코를 막아주거나 차가운 냉찜질을 해주는 등의 방법도 있습니다. 솜으로 코를 막을때에는 코피가 멎은 후에 솜을 빼내면서 점막을 자극하여 다시 코피가 날수도 있기 때문에 조심해야합니다.
health,part,코,issue,붉음,아기가 코피를 흘리면 먼저 대야 위로 고개들 숙이게 한 채로 코를 너무 강하지 않게 지그시 눌러줍니다. 만약 10분 정도가 지나도 코피가 멎지 않는다면 다시 5분 정도 반복해 주며 이와 같은 처치를 3번 정도 반복해도 코피가 멎지 않는다면 병원에 가 보는 것이 좋습니다. 이때 머리를 뒤로 젖히면 코피가 목으로 넘어갈 수 있기 때문에 절대 안 됩니다. 이 밖에도 솜으로 코를 막아주거나 차가운 냉찜질을 해주는 등의 방법도 있습니다. 솜으로 코를 막을때에는 코피가 멎은 후에 솜을 빼내면서 점막을 자극하여 다시 코피가 날수도 있기 때문에 조심해야합니다.
health,part,코,issue,피,아기가 코피를 흘리면 먼저 대야 위로 고개들 숙이게 한 채로 코를 너무 강하지 않게 지그시 눌러줍니다. 만약 10분 정도가 지나도 코피가 멎지 않는다면 다시 5분 정도 반복해 주며 이와 같은 처치를 3번 정도 반복해도 코피가 멎지 않는다면 병원에 가 보는 것이 좋습니다. 이때 머리를 뒤로 젖히면 코피가 목으로 넘어갈수 있기때문에 절대 안됩니다. 이 밖에도 솜으로 코를 막아주거나 차가운 냉찜질을 해주는 등의 방법도 있습니다. 솜으로 코를 막을때에는 코피가 멎은 후에 솜을 빼내면서 점막을 자극하여 다시 코피가 날수도 있기때문에 조심해야합니다.
health,part,눈,issue,이물질,눈에 이물질이 들어가면 먼저 눈을 위로 뜨게 한 다음 눈꺼플을 잡아 당겨 가제로 이물질을 빼내야합니다. 만약 이물질이 나오지 않는다면 눈을 뜬 채로 식염수들 약간 부어 이물질이 씻겨 내려가게 하면 되는데 이때 어른이 사용하는 안약을 아이에게 넣어주면 절대 안되고 아이가 눈을 비비지 않도록주의시켜야 합니다. 이물질이 눈에 깊이 박혀 있고 이물질을 빼낸 후에도 통증이 계속된다면 즉시 병원으로 데려가야 합니다.
health,part,코,issue,이물질,코에 이물질이 들어가면 아프지 않은 코를 손으로 막고 "훅"하고 세게 물어서 이물질이 튀어나오도록 합니다. 그래도 이물질이 나오지 않는다면 아기들 눕혀 놓고 코 속에 들어 있는 이물질을 핀셋으로 꺼내야합니다. 만약 이물질이 날카로운 것이거나 너무 어린 아이일 경우에는 무리하게 빼내려고 하지 말고 병원으로 가는 것이 좋습니다.
health,part,귀,issue,이물질,귀에 작고 부드러운 이물질이 들어갔을 때에는 핀셋으로 빼내면 되고 벌레나 곤충이 들어갔을 경우에는 손전등의 빛을 비추어서 벌레를 밖으로 유인해 내거나 베이비오일을 귀속에 한두 방물 떨어뜨려 벌레를 질식시키면 됩니다. 그리고 따뜻한 식염수를 귀에 부어 벌레들 빼내는 것도 좋습니다.
health,part,귀,issue,벌레,귀에 벌레나 곤충이 들어갔을 경우에는 손전등의 빛을 비추어서 벌레를 밖으로 유인해 내거나 베이비오일을 귀속에 한두 방물 떨어뜨려 벌레를 질식시키면 됩니다. 그리고 따뜻한 식염수를 귀에 부어 벌레들 빼내는 것도 좋습니다.
health,part,귀,issue,곤충,귀에 벌레나 곤충이 들어갔을 경우에는 손전등의 빛을 비추어서 벌레를 밖으로 유인해 내거나 베이비오일을 귀속에 한두 방물 떨어뜨려 벌레를 질식시키면 됩니다. 그리고 따뜻한 식염수를 귀에 부어 벌레들 빼내는 것도 좋습니다.
health,part,O,issue,모기,모기나 독성이 적은 벌레에 물렸을 경우에는 상처 부위들 물로 깨끗이 씻은 다음 연고들 발라 주고 독충에 물렸을 경우에는 고 난후 연고들 바르고나서 상처 부위에 가제나 반창고로 덮어 두어야 아이가 긁어서 덧나는 것을 방지할 수 있습니다. 또 벌에게 쏘였을 경우에는 벌침이 피부에 박혀 있으면 핀셋으로 뽑아내고 상처주변을 누르면서 쥐어짜내어 나쁜 피들 뽑아내고 암모니아수들 발라 주면 됩니다.
health,part,O,issue,곤충,모기나 독성이 적은 벌레에 물렸을 경우에는 상처 부위들 물로 깨끗이 씻은 다음 연고들 발라 주고 독충에 물렸을 경우에는 고 난후 연고들 바르고나서 상처 부위에 가제나 반창고로 덮어 두어야 아이가 긁어서 덧나는 것을 방지할 수 있습니다. 또 벌에게 쏘였을 경우에는 벌침이 피부에 박혀 있으면 핀셋으로 뽑아내고 상처주변을 누르면서 쥐어짜내어 나쁜 피들 뽑아내고 암모니아수들 발라 주면 됩니다.
health,part,O,issue,벌,모기나 독성이 적은 벌레에 물렸을 경우에는 상처 부위들 물로 깨끗이 씻은 다음 연고들 발라 주고 독충에 물렸을 경우에는 고 난후 연고들 바르고나서 상처 부위에 가제나 반창고로 덮어 두어야 아이가 긁어서 덧나는 것을 방지할 수 있습니다. 또 벌에게 쏘였을 경우에는 벌침이 피부에 박혀 있으면 핀셋으로 뽑아내고 상처주변을 누르면서 쥐어짜내어 나쁜 피들 뽑아내고 암모니아수들 발라 주면 됩니다.
health,part,O,issue,벌레,모기나 독성이 적은 벌레에 물렸을 경우에는 상처 부위들 물로 깨끗이 씻은 다음 연고들 발라 주고 독충에 물렸을 경우에는 고 난후 연고들 바르고나서 상처 부위에 가제나 반창고로 덮어 두어야 아이가 긁어서 덧나는 것을 방지할 수 있습니다. 또 벌에게 쏘였을 경우에는 벌침이 피부에 박혀 있으면 핀셋으로 뽑아내고 상처주변을 누르면서 쥐어짜내어 나쁜 피들 뽑아내고 암모니아수들 발라 주면 됩니다.
health,part,O,issue,경련,아기에게 경련이 일어나면 주위에 있는 위험한 물건을 모두 치워야하고 아기의 몸을 조이고 있는 것을 풀어주어아 합니다. 그리고 구토가 일어날 수도 있으므로 고개를 돌려 옆으로 눔혀 놓고 경과를 지켜보아야합니다. 10분 정도가 지나도 경련이 그치지 않는다면 빨리 병원으로 가는 것이 좋습니다.
